key,en
DISHWASHER_REFUNDED,Materials refunded: {0}
EFFECT_DAMAGE_VS_BURNING,+{0} Damage against burning enemies
EFFECT_CONSUMABLES_NO_HEAL,Consumables no longer heal you
EFFECT_FOOD_BUFF_DURATION,+{0}s food buff duration
EFFECT_MYSTERY_MEAT_SAFE,Mystery Meat never rolls its bad outcome
EFFECT_SPAWNER_TRIGGER_SPEED,Food spawners trigger {0}% faster
EFFECT_FOOD_HEAL_DISABLED,Foods no longer heal you
EFFECT_FOOD_BUFF_STRENGTH,Food buffs are {0}% stronger
EFFECT_FOOD_SPAWNS_HALVED,Half as much food spawns
EFFECT_SECOND_HELPING,{0}% chance food spawns are doubled
EFFECT_COOLER_BOX,Foods on the ground never expire
EFFECT_COMPOST_BIN,Expired food grants +1 permanent Harvesting
EFFECT_FOOD_BONUS_HEAL,Foods heal +{0} additional HP
EFFECT_FOOD_SPEED_BURST,Eating a food grants +{0} ({1}) Speed for 2 seconds. Stacks
EFFECT_FOOD_FIGHT,Eating a food throws a projectile dealing {1} ({3}) damage
EFFECT_GREASE_FIRE,"Eating a food ignites enemies in melee range for {0} ({1}) burn damage per tick, plus 50% Elemental Damage"
EFFECT_FULL_BELLY,+{0} Armor while any food buff is active
EFFECT_FOOD_COMA,+20% Damage while you have 5 or more food buffs
EFFECT_SNACK_BREAK,Eating a food has a 10% chance to grant materials equal to the wave number
EFFECT_BUFFET_INSURANCE,Eating while below 20% HP heals {0} HP
EFFECT_EXPLOSION_SIZE,+{0}% Explosion Size
EFFECT_EXPLOSION_DAMAGE,+{0}% Explosion Damage
EFFECT_REGEN_PER_BURNING_ENEMY,+{0} HP Regeneration for every burning enemy
EFFECT_CALTROPS,Enemies that hit you in melee take {0} ({1}) damage back
EFFECT_CRIT_VS_ELITES,+{0}% Crit Chance against elites and bosses
EFFECT_PICKUP_RANGE_BONUS,+{0}% Pickup Range
EFFECT_BURNING_DAMAGE_TAKEN,{0}% burning damage taken
EFFECT_LOYALTY_CARD,Every 5th shop purchase is 30% off
EFFECT_STATIC_CLING,Every 8th hit zaps the 3 nearest enemies for {0} ({1}) damage
EFFECT_ECHO_CHAMBER,{0}% chance for on-kill effects to trigger twice
EFFECT_NINE_LIVES,Survive lethal damage at 1 HP. Once per wave and 9 times per run
NINE_LIVES_USED,Lives used: {0}
EFFECT_BURP_OF_POWER,Eating a food knocks back nearby enemies
EFFECT_PANIC_BUTTON,Below 30% HP: a burst knocks back nearby enemies. 10 second cooldown
EFFECT_POCKET_SAND,Enemies that hit you are slowed 20% for 2 seconds
EFFECT_SET_MENU,Press an owned food spawner in the shop to make it the daily special. It triggers 40% faster and other spawners 20% slower
GOURMET_SELECT_SPAWNER,Set active
GOURMET_SPAWNER_ACTIVE,Active
SPAWNER_ITEMS_PRICE,% Food Spawner Price
EFFECT_PICKY_ONE_SPAWNER,Only one food spawner type is active at a time. Press an owned spawner in the shop to choose it
EFFECT_PICKY_STRONGER,The active spawner type's food is +100% stronger
EFFECT_PICKY_PENALTY,-15% Damage while no food buff is active
EFFECT_DISHWASHER_EXPIRY,Food on the ground expires 50% faster
EFFECT_RUMINANT_ECHO,Every food buff triggers again at 50% strength 5 seconds later. Each echo has a 25% chance to chew again for half as much
EFFECT_GOURMET_FRUIT,All fruit becomes food
EFFECT_DISHWASHER_LEFTOVERS,Leftovers generation is doubled
EFFECT_DISHWASHER_REFUND,Expired food refunds 1 material
EFFECT_BLACKSMITH_FORGE,"Combine two weapons of the same tier sharing a class into a random weapon of that class one tier higher. At max tier, combine into a different max-tier weapon instead"
EFFECT_MOLE_FOG,Fog of war covers every wave
GOURMET_FORGE_START,Forge
GOURMET_FORGE_CANCEL,Cancel Forge
GOURMET_FORGE_CONFIRM,Forge These
GOURMET_FORGE_HINT,Select a weapon to forge with
EFFECT_SLUG_TRAIL,"Leaves a slime trail (lasts 7.5s) that slows enemies 30% (+2% per Level, max 90%). Trail width (base 26) and slow radius (base 45) each grow +6% per Level"
ENEMY_ATTACK_SPEED,% Enemy Attack Speed
WEAPON_CLASS_CULINARY,Culinary
EFFECT_W_PAN_SLOW,15% chance to slow enemies {0}% for 1 second
EFFECT_W_EXECUTE,+{0}% damage against enemies below 25% HP
EFFECT_W_TENDERIZE,Hit enemies take +{0}% damage for 3 seconds
EFFECT_W_BELL,Each enemy hit extends your food buffs by {0} seconds
EFFECT_W_SPATULA_SLOW,Hits slow enemies {0}% for 1 second
EFFECT_W_SLAP_SLOW,Hits slow enemies {0}% for 1 second
EFFECT_W_SCOOP,Heal {0} HP for every enemy hit
FOOD_MAX_STACKS,Max buff stacks: {0}
FOOD_EATEN,{0} eaten: {1}
WEAPON_FRYING_PAN,Frying Pan
WEAPON_CLEAVER,Cleaver
WEAPON_ROLLING_PIN,Rolling Pin
WEAPON_SKEWER,Skewer
WEAPON_CHEESE_GRATER,Cheese Grater
WEAPON_WHISK,Whisk
WEAPON_LADLE,Ladle
WEAPON_DINNER_BELL,Dinner Bell
WEAPON_BAGUETTE,Bat-Guette
WEAPON_BUTCHERS_SAW,Butcher's Saw
WEAPON_MEAT_TENDERIZER,Meat Tenderizer
WEAPON_GOLDEN_SPATULA,Golden Spatula
WEAPON_TRIDENT_FORK,Trident Fork
WEAPON_FISH_SLAPPER,Fish Slapper
WEAPON_CORN_CANNON,Corn Cannon
WEAPON_SAUCE_BLASTER,Sauce Blaster
WEAPON_CHAMPAGNE_POPPER,Champagne Popper
WEAPON_PIZZA_CUTTER,Pizza Cutter
WEAPON_ICE_CREAM_SCOOP,Ice Cream Scoop
WEAPON_GALLEY_CANNON,Galley Cannon
ITEM_MEAT_RACK,Meat Rack
ITEM_MEAT_LOCKER,Meat Locker
ITEM_MEAT_COOLER,Meat Cooler
ITEM_BEEF_BROTH,Beef Broth
ITEM_BUTCHERS_APRON,Bloody Butcher's Apron
EFFECT_MEAT_RACKS,More meat racks spawn
EFFECT_MEAT_RACKS_PLURAL,More meat racks spawn
EFFECT_MEAT_LOCKER_SPAWN,Spawns a meat locker that dispenses a steak every {0} seconds
EFFECT_ENEMY_STEAK_DROPS,Enemies have a higher chance of dropping steaks
EFFECT_ONE_SHOT_MEAT_RACKS,Meat racks die in one hit
EFFECT_MEAT_RACK_TURRET,Killing a meat rack spawns a turret
EFFECT_GAIN_STAT_FOR_EVERY_MEAT_RACK,{0} {1} for every current living meat rack [{4}]
EFFECT_STAT_ON_STEAK,+{0} {1} until the end of the wave when picking up a steak
EFFECT_POISONED_STEAK,Steaks have a {0}% chance to be rotten
EFFECT_PET_LOOTWORM_MEAT,"Spawns a Lootworm pet that collects materials and destroys meat racks for the player. Each time it picks up a material, it has a {0} chance to double it"
ITEM_TEST_ARSENAL,Test Arsenal
EFFECT_TEST_ARSENAL,TEST: start with all 20 Gourmet weapons and 20 weapon slots
CHARACTER_TEST_ARMORY,Test Armory
EFFECT_TEST_ARMORY,TEST: starts with all 20 Gourmet weapons and +20 weapon slots
EFFECT_BBQ_GRILL,Spawns {0}x Ribs every 15 enemies that die within 300 range of you
EFFECT_FOOD_RIBS,Eating Ribs grants +{0} ({1}) Melee Damage for 10 seconds. Stacks
EFFECT_HOT_DOG_CART,Spawns {0}x Chili Dog every 15 enemies that die more than 300 range from you
EFFECT_FOOD_CHILI_DOG,Eating a Chili Dog grants +{0} ({1}) Ranged Damage for 10 seconds. Stacks
EFFECT_FOOD_STACK_CAP,+{0} max stacks to every food buff
EFFECT_WINE_CELLAR,Food eaten at least 6 seconds after it appeared grants a +{0}% stronger buff
EFFECT_DELIVERY_DRONE,Every food spawner you own serves {0} extra food at the start of each wave (Doggy Bag excluded)
WINE_CELLAR_AGED,Aged servings: {0}
DELIVERY_DRONE_DELIVERED,Foods delivered: {0}
EFFECT_W_GALLEY_PIERCE,Projectiles pierce enemies and ricochet off walls up to {0} times before despawning
EFFECT_BUTCHER_FRUIT,All fruit is replaced with a Steak
EFFECT_COMP_EATER_MOMENTUM,Gaining a food buff grants +5% Speed and +5% Pickup Range until the end of the wave
EFFECT_BUTCHER_DOUBLE,{0}% chance food spawns are doubled (his Steaks included)
EFFECT_GIRLY_PANIC,"When hit, even by fully blocked damage, panics and teleports to the spot furthest from all enemies (10 second cooldown)"
EFFECT_GIRLY_FOOD,"After teleporting, spawns 2 Fries and 2 Fried Rice around her"
GIRLY_PANICS,Panics: {0}
EFFECT_W_CORN_CANNON_DROP,Each hit has a {0}% chance to pop a Popcorn
EFFECT_W_FISH_SLAPPER_DROP,Each hit has a {0}% chance to slap out a Sushi Roll
EFFECT_W_PIZZA_CUTTER_DROP,Each hit has a {0}% chance to serve a Pizza Slice
EFFECT_W_SAUCE_BLASTER_DROP,Each hit has a {0}% chance to squirt out a Chili Pepper
EFFECT_W_ICE_CREAM_SCOOP_DROP,Each hit has a {0}% chance to scoop out an Ice Cream
EFFECT_W_GOLDEN_SPATULA_DROP,Each hit has a {0}% chance to flip out a Golden Apple
EFFECT_W_EXPLODE,"Explodes on impact, damaging nearby enemies"
EFFECT_GUMBALL_MACHINE,"Dispenses {0}x random Gumball (yellow, red, or blue) at the machine every 5 kills your turrets get"
EFFECT_FOOD_GUMBALL,Eating a Yellow Gumball grants +{0} ({1}) Engineering for 14 seconds. Stacks
EFFECT_COCKTAIL_BAR,Places a bar that serves a Bloody Mary every {0} seconds to nearby players
EFFECT_FOOD_BLOODY_MARY,Drinking a Bloody Mary grants +{0}% ({1}) Life Steal for 10 seconds. Stacks
EFFECT_FOOD_FRIED_EGG,Eating a Fried Egg grants +{0} ({1}) Luck permanently
FRYING_PAN_LUCK,Luck gained: {0}
EFFECT_W_FRYING_PAN_DROP,Each hit has a {0}% chance to cook up a Fried Egg
EFFECT_W_WHISK_DROP,Each hit has a {0}% chance to whip up a Cake Slice
EFFECT_W_ROLLING_PIN_DROP,Each hit has a {0}% chance to roll out a Warm Cookie
EFFECT_PICKY_SPAWNER_LIMIT,You can hold twice the limit of every food spawner
EFFECT_BUTCHER_RENDER,"At the end of each wave, 20% of the Damage gained that wave becomes permanent Appetite"
EFFECT_ZOMBIE_REANIMATE,A hit that leaves him on 1 HP heals him back to full
EFFECT_ZOMBIE_NO_SUSTAIN,"Life Steal, HP Regeneration and consumable-healing items never appear in his shop"
EFFECT_SLUG_SLIME,Enemies in the slime take {0} ({1}) damage every 0.5 seconds. Slimed stacks with burning
EFFECT_JUGGLER_COMBO,"Each weapon that already fired this cycle makes the shot +8% stronger, up to +{0}% on the last one"
ZOMBIE_REANIMATIONS,Reanimations: {0}
EFFECT_TOURIST_XP,"-15% XP Gain, or +15% instead on Danger 0"
GAIN_STAT_APPETITE,% Appetite modifications
EFFECT_GOURMET_FIRST_FOOD,The first food to spawn each wave is served twice
EFFECT_GOURMET_FAT,"He gets 3% slower and 2% bigger for every 50 consumables eaten, up to +80% size. A bigger body is a bigger target, but it also reaches further for pickups"
GREASE_FIRE_IGNITES,Enemies ignited: {0}
ECHO_CHAMBER_PROCS,Effects repeated: {0}
SECOND_HELPING_DOUBLED,Servings doubled: {0}
COMP_EATER_MOMENTUM,Momentum stacks: {0}
RUMINANT_CHEWS,Extra chews: {0}
BLACKSMITH_FORGES,Weapons forged: {0}
MIME_DUPLICATIONS,Items duplicated: {0}
BUTCHER_APPETITE_RENDERED,Appetite rendered: {0}
GOURMET_SPEED_LOST,Speed lost to fat: {0}
EFFECT_FREELOADER_MENU,Shops show 8 items and level ups offer 8 upgrades
EFFECT_FREELOADER_FREE,Everything in the shop is free
EFFECT_FREELOADER_ONE_PICK,Can only take one thing per shop
EFFECT_FREELOADER_NO_REROLL,Cannot reroll or lock
EFFECT_FREELOADER_NO_CRATES,Crates never contain items
EFFECT_FREELOADER_MATERIALS,Materials grant XP but no money
EFFECT_FREELOADER_WEAPON_TIER,Weapons in the shop are always Tier II or better
EFFECT_FREELOADER_CURSE,Every shop offering has a 25% chance to be cursed
EFFECT_SPECIAL_ROLL,Every wave rolls random modifiers that rewrite the rules
EFFECT_SPECIAL_PREVIEW,The shop shows you what is coming next wave
EFFECT_SPECIAL_TEMPORARY,Modifiers last one wave only
EFFECT_SPECIAL_SKEW,More modifiers are bad than good
EFFECT_SPAWNER_CHANCE,Each shop has a {0}% chance to guarantee a food spawner
EFFECT_DEBT_EXPLAIN,"While in debt you gain no Materials until it is repaid, and every point of debt costs 2 Materials to clear"
EFFECT_DEBTOR_MATERIALS,Materials repay your debt and grant XP but no money
EFFECT_DEBTOR_CREDIT,Everything in the shop is bought on unlimited credit
EFFECT_DEBTOR_PRICES,"Prices are shown as the debt they add, in red"
EFFECT_DEBTOR_ENEMIES,Enemies gain +1% Health and Damage for every 5 debt you carry
DEBTOR_ENEMY_BUFF,Enemies currently buffed: +{0}%
DEBTOR_DEBT_REPAID,Debt repaid: {0}
EFFECT_DEBTOR_INTEREST,Your debt gains 5% interest at the end of every wave
EFFECT_CREDIT_CARD,"Lets you overspend in the shop, up to {0} into debt"
CREDIT_CARD_DEBT,Debt taken on: {0}
EFFECT_BANK_LOAN,"Instantly gain 500 Materials, then go 300 into debt"
EFFECT_BANK_LOAN_USED,Used
EFFECT_BLACKSMITH_SHOP_WEAPONS,The shop only offers weapons
EFFECT_BLACKSMITH_CLASS_DOUBLE,Weapon class bonuses are doubled. Their drawbacks are not
TIER_V,V
TIER_VI,VI
TIER_VII,VII
TIER_VIII,VIII
EFFECT_P2W_CHEST_CURSE,A cursed chest's item is 33% likely to come out cursed
CHEST_P2W_1,Chest I
EFFECT_P2W_CHEST_ODDS_1,Contains one item (70%) or weapon (30%):
CHEST_P2W_2,Chest II
EFFECT_P2W_CHEST_ODDS_2,Contains one item (70%) or weapon (30%):
CHEST_P2W_3,Chest III
EFFECT_P2W_CHEST_ODDS_3,Contains one item (70%) or weapon (30%):
CHEST_P2W_4,Chest IV
EFFECT_P2W_CHEST_ODDS_4,Contains one item (70%) or weapon (30%):
CHEST_P2W_5,Chest V
EFFECT_P2W_CHEST_ODDS_5,Contains one item (70%) or weapon (30%):
CHEST_P2W_6,Chest VI
EFFECT_P2W_CHEST_ODDS_6,Contains one item (70%) or weapon (30%):
CHEST_P2W_7,Chest VII
EFFECT_P2W_CHEST_ODDS_7,Contains one item (70%) or weapon (30%):
CHEST_P2W_8,Chest VIII
EFFECT_P2W_CHEST_ODDS_8,Contains one item (70%) or weapon (30%):
P2W_OPEN,OPEN
P2W_CHESTS,Chests opened: {0}
EFFECT_P2W_SHOP,The shop sells Chests instead of items and weapons
P2W_CURSED,CURSED
P2W_CONTINUE,Continue
EFFECT_P2W_ODDSROW_1_1,[color=#e6e6e6]White chance: 62%[/color]
EFFECT_P2W_ODDSROW_1_2,[color=#7adb58]Green chance: 20%[/color]
EFFECT_P2W_ODDSROW_1_3,[color=#5abeff]Blue chance: 10%[/color]
EFFECT_P2W_ODDSROW_1_4,[color=#00d2be]Teal chance: 6%[/color]
EFFECT_P2W_ODDSROW_1_5,[color=#ad5aff]Purple chance: 2%[/color]
EFFECT_P2W_ODDSROW_2_2,[color=#7adb58]Green chance: 40%[/color]
EFFECT_P2W_ODDSROW_2_1,[color=#e6e6e6]White chance: 22%[/color]
EFFECT_P2W_ODDSROW_2_3,[color=#5abeff]Blue chance: 20%[/color]
EFFECT_P2W_ODDSROW_2_4,[color=#00d2be]Teal chance: 10%[/color]
EFFECT_P2W_ODDSROW_2_5,[color=#ad5aff]Purple chance: 6%[/color]
EFFECT_P2W_ODDSROW_2_6,[color=#ff3b3b]Red chance: 2%[/color]
EFFECT_P2W_ODDSROW_3_3,[color=#5abeff]Blue chance: 40%[/color]
EFFECT_P2W_ODDSROW_3_2,[color=#7adb58]Green chance: 22%[/color]
EFFECT_P2W_ODDSROW_3_4,[color=#00d2be]Teal chance: 20%[/color]
EFFECT_P2W_ODDSROW_3_5,[color=#ad5aff]Purple chance: 10%[/color]
EFFECT_P2W_ODDSROW_3_6,[color=#ff3b3b]Red chance: 6%[/color]
EFFECT_P2W_ODDSROW_3_7,[color=#ff69c7]Pink chance: 2%[/color]
EFFECT_P2W_ODDSROW_4_4,[color=#00d2be]Teal chance: 40%[/color]
EFFECT_P2W_ODDSROW_4_3,[color=#5abeff]Blue chance: 22%[/color]
EFFECT_P2W_ODDSROW_4_5,[color=#ad5aff]Purple chance: 20%[/color]
EFFECT_P2W_ODDSROW_4_6,[color=#ff3b3b]Red chance: 10%[/color]
EFFECT_P2W_ODDSROW_4_7,[color=#ff69c7]Pink chance: 6%[/color]
EFFECT_P2W_ODDSROW_4_8,[color=#ffcd3c]Gold chance: 2%[/color]
EFFECT_P2W_ODDSROW_5_5,[color=#ad5aff]Purple chance: 40%[/color]
EFFECT_P2W_ODDSROW_5_4,[color=#00d2be]Teal chance: 22%[/color]
EFFECT_P2W_ODDSROW_5_6,[color=#ff3b3b]Red chance: 20%[/color]
EFFECT_P2W_ODDSROW_5_7,[color=#ff69c7]Pink chance: 10%[/color]
EFFECT_P2W_ODDSROW_5_8,[color=#ffcd3c]Gold chance: 8%[/color]
EFFECT_P2W_ODDSROW_6_6,[color=#ff3b3b]Red chance: 40%[/color]
EFFECT_P2W_ODDSROW_6_5,[color=#ad5aff]Purple chance: 22%[/color]
EFFECT_P2W_ODDSROW_6_7,[color=#ff69c7]Pink chance: 20%[/color]
EFFECT_P2W_ODDSROW_6_8,[color=#ffcd3c]Gold chance: 18%[/color]
EFFECT_P2W_ODDSROW_7_7,[color=#ff69c7]Pink chance: 40%[/color]
EFFECT_P2W_ODDSROW_7_8,[color=#ffcd3c]Gold chance: 38%[/color]
EFFECT_P2W_ODDSROW_7_6,[color=#ff3b3b]Red chance: 22%[/color]
EFFECT_P2W_ODDSROW_8_8,[color=#ffcd3c]Gold chance: 78%[/color]
EFFECT_P2W_ODDSROW_8_7,[color=#ff69c7]Pink chance: 22%[/color]
P2W_TIER_GREEN,Green
P2W_TIER_TEAL,Teal
P2W_TIER_PINK,Pink
P2W_TIER_GOLD,Gold
EFFECT_FOOD_GUMBALL_RED,Eating a Red Gumball grants +{0}% ({1}) Attack Speed for 14 seconds. Stacks
EFFECT_FOOD_GUMBALL_BLUE,Eating a Blue Gumball grants +{0} ({1}) Armor for 14 seconds. Stacks
EFFECT_BLACKSMITH_TIERS,Weapons come in 8 tiers instead of 4
EFFECT_BLACKSMITH_CLASS_TIERS,"Weapon class level comes from the total weapon tiers you own in that class: 1 level per 4 tiers, up to 6"
MODE_NONE,No mode
LOBBY_DOOR,Departure
LOBBY_DOOR_PROMPT,[E] Start a run
LOBBY_SHRINE,Mode Shrine
LOBBY_SHRINE_PROMPT,[E] Mode: %s
LOBBY_HUB,Hub
LOBBY_SHUTTLE,Departure shuttle
LOBBY_SHUTTLE_PROMPT,[E] Take off
LOBBY_BOOTH,Changing booth
LOBBY_BOOTH_PROMPT,[E] Change character
LOBBY_BLDG_SMITHY,Smithy & Den
LOBBY_BLDG_BANK,The Bank
LOBBY_BLDG_DINER,Chef's Diner
LOBBY_BLDG_GREMLIN,The Gremlin's Den
LOBBY_BLDG_BUNKHOUSE,The Bunkhouse
LOBBY_BLDG_VACANT,Vacant
LOBBY_BLDG_RESERVED,Coming Soon
