key,en
EFFECT_SPAWNER_CHANCE,Each shop has a {0}% chance to guarantee a food spawner
EFFECT_SPAWNER_TRIGGER_SPEED,Food spawners trigger {0}% faster
EFFECT_STATIC_CLING,Every 8th hit zaps the 3 nearest enemies for {0} ({1}) damage
EFFECT_STREET_VENDOR,Mystery Meat shows up 3 to 6 times per wave ({0}x each)
EFFECT_SUSHI_BAR,Spawns {0}x Sushi Roll every 12 critical hits. The bar serves at most one roll every 2 seconds; extras queue
EFFECT_VICTORY_FEAST,Spawns {0}x Golden Apple when an elite or a boss dies
EFFECT_WINE_CELLAR,Food eaten at least 6 seconds after it appeared grants a +{0}% stronger buff
EFFECT_WOK_STATION,Serves {0}x Fried Rice at the wok every 8 enemies that die burning. The wok plates up at most one dish every 2 seconds; extras queue
EFFECT_W_EXECUTE,+{0}% damage against enemies below 25% HP
GIRLY_PANICS,Panics: {0}
GOURMET_APPETITE_GAINED,Appetite gained: {0}
GOURMET_HARVESTING_GAINED,Harvesting gained: {0}
GOURMET_SNAIL_ARMOR_GAINED,Armor gained: {0}
GREASE_FIRE_IGNITES,Enemies ignited: {0}
NINE_LIVES_USED,Lives used: {0}
OVERTIME_PAY_DESC,"Gain 1% Attack Speed per 80 Materials collected each wave (max +6% per wave, permanent)"
OVERTIME_PAY_GAINED,Attack Speed gained: {0}
RUMINANT_CHEWS,Extra chews: {0}
SECOND_HELPING_DOUBLED,Servings doubled: {0}
SECOND_MORTGAGE_DESC,+15% Materials at the end of each wave
SECOND_MORTGAGE_GAINED,Materials gained: {0}
SNACK_BREAK_GAINED,Materials gained: {0}
SOUL_FOOD_BANKED,Permanent stats banked: {0}
UPGRADE_APPETITE,Stomach
VAMPIRE_FANG_DESC,Life Steal can heal up to 20% of your max HP past your max HP
WINE_CELLAR_AGED,Aged servings: {0}
