key,en
EFFECT_P2W_ODDSROW_7_7,[color=#ff69c7]Pink chance: 40%[/color]
EFFECT_P2W_ODDSROW_7_8,[color=#ffcd3c]Gold chance: 38%[/color]
EFFECT_P2W_ODDSROW_8_7,[color=#ff69c7]Pink chance: 22%[/color]
EFFECT_P2W_ODDSROW_8_8,[color=#ffcd3c]Gold chance: 78%[/color]
EFFECT_PET_LOOTWORM_MEAT,"Spawns a Lootworm pet that collects materials and destroys meat racks for the player. Each time it picks up a material, it has a {0} chance to double it"
EFFECT_POISONED_STEAK,Steaks have a {0}% chance to be rotten
EFFECT_STAT_ON_STEAK,+{0} {1} until the end of the wave when picking up a steak
EFFECT_TEST_ARMORY,TEST: starts with all 20 Gourmet weapons and +20 weapon slots
EFFECT_TEST_ARSENAL,TEST: start with all 20 Gourmet weapons and 20 weapon slots
EFFECT_W_BELL,Each enemy hit extends your food buffs by {0} seconds
EFFECT_W_CORN_CANNON_DROP,Each hit has a {0}% chance to pop a Popcorn
EFFECT_W_EXPLODE,"Explodes on impact, damaging nearby enemies"
EFFECT_W_FISH_SLAPPER_DROP,Each hit has a {0}% chance to slap out a Sushi Roll
EFFECT_W_FRYING_PAN_DROP,Each hit has a {0}% chance to cook up a Fried Egg
EFFECT_W_GALLEY_PIERCE,Projectiles pierce enemies and ricochet off walls up to {0} times before despawning
EFFECT_W_GOLDEN_SPATULA_DROP,Each hit has a {0}% chance to flip out a Golden Apple
EFFECT_W_ICE_CREAM_SCOOP_DROP,Each hit has a {0}% chance to scoop out an Ice Cream
EFFECT_W_PAN_SLOW,15% chance to slow enemies {0}% for 1 second
EFFECT_W_PIZZA_CUTTER_DROP,Each hit has a {0}% chance to serve a Pizza Slice
EFFECT_W_ROLLING_PIN_DROP,Each hit has a {0}% chance to roll out a Warm Cookie
EFFECT_W_SAUCE_BLASTER_DROP,Each hit has a {0}% chance to squirt out a Chili Pepper
EFFECT_W_SCOOP,Heal {0} HP for every enemy hit
EFFECT_W_SLAP_SLOW,Hits slow enemies {0}% for 1 second
EFFECT_W_SPATULA_SLOW,Hits slow enemies {0}% for 1 second
EFFECT_W_TENDERIZE,Hit enemies take +{0}% damage for 3 seconds
EFFECT_W_WHISK_DROP,Each hit has a {0}% chance to whip up a Cake Slice
ENEMY_ATTACK_SPEED,% Enemy Attack Speed
FOOD_EATEN,{0} eaten: {1}
FOOD_ITEM,Food item
FOOD_ITEMS_PRICE,% Food Items Price
FOOD_MAX_STACKS,Max buff stacks: {0}
FRYING_PAN_LUCK,Luck gained: {0}
GAIN_STAT_APPETITE,% Appetite modifications
GAIN_STAT_ARMOR,% Armor modifications
GAIN_STAT_ATTACK_SPEED,% Attack Speed modifications
GAIN_STAT_DODGE,% Dodge modifications
GAIN_STAT_ELEMENTAL_DAMAGE,% Elemental Damage modifications
GAIN_STAT_HARVESTING,% Harvesting modifications
GAIN_STAT_HP_REGENERATION,% HP Regeneration modifications
GAIN_STAT_LUCK,% Luck modifications
GAIN_STAT_MAX_HP,% Max HP modifications
GAIN_STAT_MELEE_DAMAGE,% Melee Damage modifications
GAIN_STAT_PERCENT_DAMAGE,% Damage modifications
GAIN_STAT_RANGED_DAMAGE,% Ranged Damage modifications
GAIN_STAT_SPEED,% Speed modifications
GAIN_XP_GAIN,% XP Gain modifications
GOURMET_FORGE_CANCEL,Cancel Forge
GOURMET_FORGE_CONFIRM,Forge These
GOURMET_FORGE_HINT,Select a weapon to forge with
GOURMET_FORGE_START,Forge
GOURMET_SELECT_SPAWNER,Set active
GOURMET_SPAWNER_ACTIVE,Active
GOURMET_SPEED_LOST,Speed lost to fat: {0}
INFO_NEG_STAT_APPETITE,Boosts food buffs. {0} Appetite
INFO_POS_STAT_APPETITE,Boosts food buffs. +{0} Appetite
ITEM_BEEF_BROTH,Beef Broth
ITEM_BUTCHERS_APRON,Bloody Butcher's Apron
ITEM_MEAT_COOLER,Meat Cooler
ITEM_MEAT_LOCKER,Meat Locker
ITEM_MEAT_RACK,Meat Rack
ITEM_MYSTERY_SEASONING,Mystery Seasoning
ITEM_TEST_ARSENAL,Test Arsenal
LOBBY_BLDG_RESERVED,Coming Soon
LOBBY_BLDG_VACANT,Vacant
LOBBY_BOOTH,Changing booth
LOBBY_BOOTH_PROMPT,[E] Change character
LOBBY_DOOR,Departure
LOBBY_DOOR_PROMPT,[E] Start a run
LOBBY_HUB,Hub
LOBBY_SHRINE,Mode Shrine
LOBBY_SHRINE_PROMPT,[E] Mode: %s
LOBBY_SHUTTLE,Departure shuttle
LOBBY_SHUTTLE_PROMPT,[E] Take off
MODE_NONE,No mode
NO_HEAL,Cannot heal in any way
P2W_CONTINUE,Continue
P2W_CURSED,CURSED
P2W_OPEN,OPEN
P2W_TIER_GOLD,Gold
P2W_TIER_GREEN,Green
P2W_TIER_PINK,Pink
P2W_TIER_TEAL,Teal
PERCENT_MATERIALS,% Materials Gained
SOUL_FOOD_FLIPPED,Permanent stats lost: {0}
SPAWNER_ITEMS_PRICE,% Food Spawner Price
STAT_APPETITE,Appetite
STAT_CURSE,Curse
TIER_V,V
TIER_VI,VI
TIER_VII,VII
TIER_VIII,VIII
WEAPON_BAGUETTE,Bat-Guette
WEAPON_BUTCHERS_SAW,Butcher's Saw
WEAPON_CLASS_CULINARY,Culinary
WEAPON_DINNER_BELL,Dinner Bell
WEAPON_FISH_SLAPPER,Fish Slapper
WEAPON_FRYING_PAN,Frying Pan
WEAPON_GOLDEN_SPATULA,Golden Spatula
WEAPON_ICE_CREAM_SCOOP,Ice Cream Scoop
WEAPON_LADLE,Ladle
WEAPON_MEAT_TENDERIZER,Meat Tenderizer
WEAPON_ROLLING_PIN,Rolling Pin
WEAPON_SAUCE_BLASTER,Sauce Blaster
WEAPON_TRIDENT_FORK,Trident Fork
WEAPON_WHISK,Whisk
